lei,activity_year,action_taken,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_4,loan_purpose,occupancy_type,lien_status,loan_type,county_code,aus_1,construction_method,total_units,submission_of_application,initially_payable_to_institution,conforming_loan_limit,amortization,interest_only_payment,balloon_payment,negative_amortization,has_co_applicant,loan_amount,income,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,open_end_line_of_credit,reverse_mortgage,business_or_commercial_purpose
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,2,1,1,2,1,C,1,2,2,2,1,355000,103000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12086,1,1,1,1,1,C,1,2,2,2,1,325000,97000,375000,86.05,39,2,2,2
549300EXAMPLE000001,2024,3,2,9,,,1,1,1,2,12086,1,1,1,2,1,C,1,2,2,2,0,275000,120000,355000,78.261,,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,465000,39000,485000,95.988,37,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12086,1,1,1,2,1,C,1,2,2,2,0,145000,117000,185000,78.232,40,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,1,205000,70000,215000,94.613,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,2,1,1,2,1,C,1,2,2,2,0,95000,134000,135000,70.694,39,2,2,2
549300EXAMPLE000001,2024,3,3,,,,32,1,1,2,12099,1,1,1,1,1,C,1,2,2,2,0,435000,48000,545000,80.464,40,2,2,2
549300EXAMPLE000001,2024,3,4,,,,32,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,285000,117000,315000,90.716,,2,2,2
549300EXAMPLE000001,2024,3,3,,,,31,1,1,1,12086,1,1,1,2,1,C,1,2,2,2,0,385000,177000,395000,97.0,,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,445000,66000,485000,91.558,,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,0,195000,69000,315000,62.707,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12086,3,1,1,1,1,C,1,2,2,2,1,245000,59000,375000,66.383,,2,2,2
549300EXAMPLE000001,2024,3,,,,,32,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,225000,77000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,165000,39000,215000,75.965,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12086,1,1,1,2,1,C,1,2,2,2,1,185000,75000,185000,97.0,40,2,2,2
549300EXAMPLE000001,2024,3,6,,,,1,1,1,2,12086,1,1,1,1,1,C,1,2,2,2,0,275000,116000,285000,97.0,39,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,1,12086,1,1,1,2,1,C,1,2,2,2,1,345000,106000,445000,78.065,40,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12099,1,1,1,1,1,C,1,2,2,2,1,175000,149000,205000,81.361,40,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,0,425000,180000,445000,97.0,40,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,185000,54000,305000,61.109,36,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12086,1,1,1,2,1,C,1,2,2,2,1,235000,64000,245000,97.0,43,2,2,2
549300EXAMPLE000001,2024,3,6,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,175000,119000,185000,93.395,39,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,2,12086,2,1,1,2,1,C,1,2,2,2,0,265000,119000,295000,89.404,49,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,405000,66000,415000,97.0,38,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,2,12011,1,1,1,2,1,C,1,2,2,2,0,205000,103000,295000,68.267,38,2,2,2
549300EXAMPLE000001,2024,3,9,3,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,435000,90000,505000,85.904,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12086,1,1,1,2,1,C,1,2,2,2,0,175000,209000,185000,97.0,40,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12099,2,1,1,1,1,C,1,2,2,2,0,535000,181000,595000,89.433,,2,2,2
549300EXAMPLE000001,2024,2,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,1,315000,66000,325000,97.0,,2,2,2
549300EXAMPLE000001,2024,3,6,,,,32,1,1,1,12086,1,1,1,2,1,C,1,2,2,2,0,325000,85000,385000,84.536,46,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,195000,83000,,,,2,2,2
549300EXAMPLE000001,2024,2,,,,,31,1,1,1,12086,1,1,1,2,1,C,1,2,2,2,1,125000,86000,145000,84.964,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,1,115000,46000,145000,77.862,39,2,2,2
549300EXAMPLE000001,2024,3,9,,,,1,1,1,2,12086,1,1,1,1,1,C,1,2,2,2,1,345000,171000,355000,97.0,49,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,375000,71000,395000,93.512,38,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,395000,138000,415000,94.179,,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12011,2,1,1,1,1,C,1,2,2,2,1,115000,71000,155000,74.289,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,3,1,1,2,1,C,1,2,2,2,1,325000,139000,375000,85.871,,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,275000,96000,285000,97.0,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,295000,65000,315000,95.234,43,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,295000,131000,325000,89.658,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,135000,169000,135000,97.0,42,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,1,175000,76000,235000,73.972,,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12099,1,1,1,2,1,C,1,2,2,2,1,225000,73000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,2,1,C,1,2,2,2,1,515000,163000,555000,92.663,,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12011,2,1,1,1,1,C,1,2,2,2,0,185000,71000,275000,65.252,46,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,0,205000,61000,,,,2,2,2
549300EXAMPLE000001,2024,2,,,,,1,1,1,1,12086,3,1,1,1,1,C,1,2,2,2,1,175000,91000,225000,77.076,,2,2,2
549300EXAMPLE000001,2024,3,2,,,,1,1,1,1,12011,2,1,1,1,1,C,1,2,2,2,1,115000,122000,145000,76.813,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,1,145000,99000,175000,82.318,46,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,0,315000,152000,365000,87.248,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12086,1,1,1,1,1,C,1,2,2,2,1,195000,142000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,2,1,1,2,1,C,1,2,2,2,0,135000,58000,185000,76.263,48,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,3,1,1,1,1,C,1,2,2,2,0,225000,99000,295000,77.629,,2,2,2
549300EXAMPLE000001,2024,3,6,3,,,1,1,1,2,12011,3,1,1,1,1,C,1,2,2,2,0,235000,103000,245000,97.0,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,165000,60000,185000,87.49,39,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,235000,103000,305000,76.46,37,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,3,1,1,2,1,C,1,2,2,2,0,415000,151000,485000,85.137,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,355000,103000,425000,85.111,,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,0,255000,155000,265000,97.0,45,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,2,1,C,1,2,2,2,1,195000,84000,,,,2,2,2
549300EXAMPLE000001,2024,3,4,,,,1,1,1,2,12086,3,1,1,1,1,C,1,2,2,2,0,215000,77000,225000,97.0,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,1,645000,175000,675000,96.235,47,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12011,1,1,1,1,1,C,1,2,2,2,0,215000,70000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,2,12086,1,1,1,1,1,C,1,2,2,2,0,205000,48000,245000,86.542,,2,2,2
549300EXAMPLE000001,2024,3,6,,,,31,1,1,1,12011,2,1,1,2,1,C,1,2,2,2,1,75000,107000,105000,78.072,38,2,2,2
549300EXAMPLE000001,2024,3,4,,,,31,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,0,355000,127000,375000,93.965,44,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12099,2,1,1,1,1,C,1,2,2,2,1,155000,118000,175000,92.137,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,0,405000,219000,425000,95.919,41,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,285000,87000,375000,75.805,40,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,1,12099,1,1,1,1,1,C,1,2,2,2,0,135000,103000,165000,80.245,37,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,2,12011,2,1,1,2,1,C,1,2,2,2,0,235000,73000,275000,86.348,45,2,2,2
